1950,52
1951,51
1952,52
1953,48
1954,47
1955,46
1956,46
1957,46
1958,47
1959,37
1960,39
1961,40
1962,34
1963,33
1964,34
1965,31
1966,34
1967,37
1968,32
1969,42
1970,35
1971,42
1972,37
1973,38
1974,54
1975,36
1976,41
1977,42
1978,38
1979,41
1980,43
1981,48
1982,49
1983,41
1984,57
1985,58
1986,59
1987,47
1988,52
1989,62
1990,72
1991,62
1992,66
1993,59
1994,57
1995,57
1996,67
1997,75
1998,66
1999,68
2000,75
2001,93
2002,94
2003,103
2004,91
2005,111
2006,125
2007,127
2008,129
2009,137
2010,143
2011,151
2012,144
2013,149
2014,135
2015,132
