[(1,80),(2,56),(3,31),(4,23),(5,13),(6,10),(7,7),(8,3),(9,1),(10,1),(11,3),(12,7),(13,7),(14,11),(15,19),(16,25),(17,29),(18,39),(19,48),(20,64)]
[(1,83),(2,71),(3,61),(4,51),(5,41),(6,33),(7,26),(8,20),(9,18),(10,16),(11,12),(12,9),(13,8),(14,8),(15,29),(16,44),(17,54),(18,68),(19,95),(20,100)]
[(1,99),(2,94),(3,84),(4,73),(5,65),(6,54),(7,40),(8,29),(9,20),(10,16),(11,15),(12,13),(13,18),(14,22),(15,28),(16,32),(17,43),(18,49),(19,55),(20,64)]
[(1,94),(2,89),(3,79),(4,77),(5,67),(6,57),(7,51),(8,43),(9,31),(10,26),(11,20),(12,16),(13,12),(14,12),(15,10),(16,13),(17,13),(18,22),(19,25),(20,31)]
[(1,82),(2,73),(3,58),(4,47),(5,34),(6,25),(7,22),(8,16),(9,11),(10,11),(11,10),(12,9),(13,9),(14,10),(15,13),(16,33),(17,38),(18,41),(19,42),(20,48)]
[(1,82),(2,69),(3,50),(4,38),(5,22),(6,17),(7,8),(8,4),(9,1),(10,1),(11,4),(12,8),(13,13),(14,14),(15,15),(16,29),(17,33),(18,55),(19,60),(20,68)]
[(1,98),(2,97),(3,87),(4,78),(5,59),(6,41),(7,25),(8,15),(9,10),(10,7),(11,4),(12,1),(13,3),(14,2),(15,6),(16,13),(17,16),(18,21),(19,27),(20,40)]
[(1,87),(2,77),(3,62),(4,50),(5,39),(6,31),(7,25),(8,20),(9,15),(10,11),(11,7),(12,5),(13,5),(14,12),(15,10),(16,27),(17,42),(18,48),(19,61),(20,80)]
[(1,89),(2,68),(3,57),(4,47),(5,42),(6,31),(7,27),(8,21),(9,17),(10,15),(11,10),(12,8),(13,6),(14,6),(15,6),(16,9),(17,14),(18,19),(19,23),(20,34)]
[(1,96),(2,89),(3,84),(4,62),(5,57),(6,47),(7,37),(8,32),(9,26),(10,20),(11,16),(12,15),(13,11),(14,10),(15,18),(16,15),(17,21),(18,24),(19,25),(20,36)]
[(1,96),(2,86),(3,80),(4,67),(5,58),(6,51),(7,47),(8,41),(9,38),(10,33),(11,28),(12,27),(13,21),(14,18),(15,20),(16,18),(17,17),(18,19),(19,23),(20,30)]
[(1,87),(2,77),(3,63),(4,53),(5,43),(6,37),(7,31),(8,25),(9,21),(10,17),(11,12),(12,10),(13,9),(14,9),(15,17),(16,30),(17,31),(18,51),(19,64),(20,98)]
[(1,86),(2,77),(3,63),(4,51),(5,41),(6,32),(7,22),(8,15),(9,8),(10,6),(11,3),(12,3),(13,1),(14,3),(15,5),(16,9),(17,18),(18,24),(19,37),(20,42)]
[(1,86),(2,72),(3,58),(4,46),(5,37),(6,29),(7,22),(8,15),(9,9),(10,6),(11,4),(12,2),(13,1),(14,2),(15,5),(16,9),(17,11),(18,18),(19,23),(20,31)]
[(1,98),(2,90),(3,74),(4,69),(5,56),(6,45),(7,37),(8,30),(9,24),(10,20),(11,20),(12,16),(13,12),(14,12),(15,25),(16,33),(17,41),(18,48),(19,62),(20,96)]
[(1,100),(2,90),(3,80),(4,59),(5,47),(6,30),(7,16),(8,10),(9,1),(10,1),(11,2),(12,4),(13,5),(14,8),(15,12),(16,16),(17,23),(18,23),(19,26),(20,41)]
[(1,97),(2,83),(3,69),(4,56),(5,46),(6,36),(7,24),(8,16),(9,11),(10,8),(11,6),(12,5),(13,6),(14,14),(15,20),(16,26),(17,38),(18,52),(19,55),(20,63)]
[(1,89),(2,86),(3,66),(4,54),(5,33),(6,22),(7,11),(8,7),(9,3),(10,1),(11,1),(12,2),(13,3),(14,4),(15,8),(16,14),(17,19),(18,35),(19,42),(20,51)]
